timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,IdleTime,Connect
1715207892870,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-1,text,false,,1170,0,1,1,https://1 /,,0,UTF-8,1,1,0,0
1715207895877,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-1,text,false,,1170,0,1,1,https://1 /,,0,UTF-8,1,1,0,0
1715207898889,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-1,text,false,,1170,0,1,1,https://1 /,,0,UTF-8,1,1,0,0
1715207901896,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-1,text,false,,1170,0,1,1,https://1 /,,0,UTF-8,1,1,0,0
1715207904896,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-1,text,false,,1170,0,1,1,https://1 /,,0,UTF-8,1,1,0,0
1715207907900,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-1,text,false,,1170,0,1,1,https://1 /,,0,UTF-8,1,1,0,0
1715207910912,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-1,text,false,,1170,0,1,1,https://1 /,,0,UTF-8,1,1,0,0
