timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,IdleTime,Connect
1714345325131,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://blazemeterdemo.com /,Irshad-Module 5 - Assessment 1-1,text,false,,1187,0,1,1,https://blazemeterdemo.com /,,0,UTF-8,1,1,0,0
1714345328146,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://blazemeterdemo.com /,Irshad-Module 5 - Assessment 1-1,text,false,,1187,0,1,1,https://blazemeterdemo.com /,,0,UTF-8,1,1,0,0
1714345331149,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://blazemeterdemo.com /,Irshad-Module 5 - Assessment 1-1,text,false,,1187,0,1,1,https://blazemeterdemo.com /,,0,UTF-8,1,1,0,0
