timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,IdleTime,Connect
1714343464767,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://blazemeterdemo.com /,Irshad-Module 6 - Assessment 1-1,text,false,,1187,0,1,1,https://blazemeterdemo.com /,,0,UTF-8,1,1,0,0
1714343467773,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://blazemeterdemo.com /,Irshad-Module 6 - Assessment 1-1,text,false,,1187,0,1,1,https://blazemeterdemo.com /,,0,UTF-8,1,1,0,0
1714343470780,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://blazemeterdemo.com /,Irshad-Module 6 - Assessment 1-1,text,false,,1187,0,1,1,https://blazemeterdemo.com /,,0,UTF-8,1,1,0,0
1714343473795,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://blazemeterdemo.com /,Irshad-Module 6 - Assessment 1-1,text,false,,1187,0,1,1,https://blazemeterdemo.com /,,0,UTF-8,1,1,0,0
1714343476805,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://blazemeterdemo.com /,Irshad-Module 6 - Assessment 1-1,text,false,,1187,0,1,1,https://blazemeterdemo.com /,,0,UTF-8,1,1,0,0
1714343479817,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://blazemeterdemo.com /,Irshad-Module 6 - Assessment 1-1,text,false,,1187,0,1,1,https://blazemeterdemo.com /,,0,UTF-8,1,1,0,0
1714343482824,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://blazemeterdemo.com /,Irshad-Module 6 - Assessment 1-1,text,false,,1187,0,1,1,https://blazemeterdemo.com /,,0,UTF-8,1,1,0,0
1714343485836,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://blazemeterdemo.com /,Irshad-Module 6 - Assessment 1-1,text,false,,1187,0,1,1,https://blazemeterdemo.com /,,0,UTF-8,1,1,0,0
1714343488849,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://blazemeterdemo.com /,Irshad-Module 6 - Assessment 1-1,text,false,,1187,0,1,1,https://blazemeterdemo.com /,,0,UTF-8,1,1,0,0
1714343491860,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://blazemeterdemo.com /,Irshad-Module 6 - Assessment 1-1,text,false,,1187,0,1,1,https://blazemeterdemo.com /,,0,UTF-8,1,1,0,0
